cam_left_stamp,cam_right_stamp
1778013401467340810,1778013401467602125
1778013401499315106,1778013401499551347
1778013401527288550,1778013401527493902
1778013401559270013,1778013401559462921
1778013401591230384,1778013401591414069
1778013401623238106,1778013401623440958
1778013401651272458,1778013401651461328
1778013401683244476,1778013401683458717
1778013401715292050,1778013401715484032
1778013401747301069,1778013401747502810
1778013401775266458,1778013401775461143
1778013401807316328,1778013401807531217
1778013401839272661,1778013401839469198
1778013401871244865,1778013401871466180
1778013401899351569,1778013401899577013
1778013401931307939,1778013401931519569
1778013401963208828,1778013401963407754
1778013401991159309,1778013401995398883
1778013402023432550,1778013402023682587
1778013402055694995,1778013402055865457
1778013402087567791,1778013402087666698
1778013402115527661,1778013402115589791
1778013402147518513,1778013402147553365
1778013402179513513,1778013402179698291
1778013402211529920,1778013402211706143
1778013402239545531,1778013402239881031
1778013402271498643,1778013402271850550
1778013402303571605,1778013402304084198
1778013402335682920,1778013402336103698
1778013402363946531,1778013402364162383
1778013402395707661,1778013402395973754
1778013402427713179,1778013402427888457
1778013402455642031,1778013402459901235
1778013402487560568,1778013402487753272
1778013402519631587,1778013402519828716
1778013402551668698,1778013402551851365
1778013402579557198,1778013402579750253
1778013402611545142,1778013402611757365
1778013402643542494,1778013402643732902
1778013402675493902,1778013402675708531
1778013402703434198,1778013402703635790
1778013402735467068,1778013402735692290
1778013402767448087,1778013402767632124
1778013402799437772,1778013402799648420
1778013402827542439,1778013402827765290
1778013402859657716,1778013402859860216
1778013402891511587,1778013402891718438
1778013402919501809,1778013402923731550
1778013402951527494,1778013402951794124
1778013402983523568,1778013402983726920
1778013403015534494,1778013403015816309
1778013403043505661,1778013403043718624
1778013403075531031,1778013403075805161
1778013403107562883,1778013403107785309
1778013403139404475,1778013403139825235
1778013403167176235,1778013403167778716
1778013403199054753,1778013403199739975
1778013403230965901,1778013403231564605
1778013403262897938,1778013403263296438
1778013403291385290,1778013403291960327
1778013403323090605,1778013403323608568
1778013403355035734,1778013403355498401
1778013403383210142,1778013403387575105
1778013403415302605,1778013403415562123
1778013403447473290,1778013403447518771
1778013403479482216,1778013403479546938
1778013403507483827,1778013403507550123
1778013403539436401,1778013403539610253
1778013403571485068,1778013403571814234
1778013403603501512,1778013403603838994
1778013403631469901,1778013403631819290
1778013403663453753,1778013403663785197
1778013403695432975,1778013403695775123
1778013403727506864,1778013403727859382
1778013403755543642,1778013403755867179
1778013403787506308,1778013403787932345
1778013403819510697,1778013403819849438
1778013403847524586,1778013403851862271
1778013403879515197,1778013403879846753
1778013403911563456,1778013403911835216
1778013403943522456,1778013403943802623
1778013403971493401,1778013403971797716
1778013404003638012,1778013404003901271
1778013404035726864,1778013404035910882
1778013404067719086,1778013404067803956
1778013404095754104,1778013404095904345
1778013404127738790,1778013404127830234
1778013404159665641,1778013404159781197
1778013404191869567,1778013404191765678
1778013404220007456,1778013404219932382
1778013404251683401,1778013404251669327
1778013404283648975,1778013404283636623
1778013404311557752,1778013404315596104
1778013404343631419,1778013404343673845
1778013404375794771,1778013404375797530
1778013404407764808,1778013404407774826
1778013404435696938,1778013404435686345
1778013404467647197,1778013404467673197
1778013404499581067,1778013404499593178
1778013404531538067,1778013404531570586
1778013404559660641,1778013404559670882
1778013404591728789,1778013404591813530
1778013404623616234,1778013404623752771
1778013404655630678,1778013404655753863
1778013404683616289,1778013404683762919
1778013404715682604,1778013404715811141
1778013404747681141,1778013404747805382
1778013404779679048,1778013404779825604
1778013404807671845,1778013404807800660
1778013404839626622,1778013404839767900
1778013404871578326,1778013404871744993
1778013404899567511,1778013404899716456
1778013404931557437,1778013404931706308
1778013404963560382,1778013404963886826
1778013404995578400,1778013404995934196
1778013405023655141,1778013405024009141
1778013405055468919,1778013405055944196
1778013405087167826,1778013405087898011
1778013405119052289,1778013405120088567
1778013405147657215,1778013405148375622
1778013405179326530,1778013405179952715
1778013405211313178,1778013405211917122
1778013405243462919,1778013405243934826
1778013405271595104,1778013405271961678
1778013405303651567,1778013405303990974
1778013405335600067,1778013405335961715
1778013405363593307,1778013405367980493
1778013405395560715,1778013405395970122
1778013405427582715,1778013405427968418
1778013405459610733,1778013405459977418
1778013405487610178,1778013405487982548
1778013405519708159,1778013405520093029
1778013405551717733,1778013405552055233
1778013405583699844,1778013405584053104
1778013405611692974,1778013405612024307
1778013405643665178,1778013405644022937
1778013405675695992,1778013405676032326
1778013405707646622,1778013405708004807
1778013405735591789,1778013405735966048
1778013405767600677,1778013405767974233
1778013405799612585,1778013405799987992
1778013405827666622,1778013405831884326
1778013405859653789,1778013405859740140
1778013405891640789,1778013405891530677
1778013405923595418,1778013405923401140
1778013405951570788,1778013405951268807
