cam_left_stamp,cam_right_stamp
1778013824831215742,1778013824831413911
1778013824858659219,1778013824858657243
1778013824890801543,1778013824890624711
1778013824922810281,1778013824922359064
1778013824950564932,1778013824950102904
1778013824981829430,1778013824981255823
1778013825014042533,1778013825013242878
1778013825041856138,1778013825045231771
1778013825074074026,1778013825073288120
1778013825105930642,1778013825104905381
1778013825138803727,1778013825137607742
1778013825167697895,1778013825166786765
1778013825200545313,1778013825199682370
1778013825231912290,1778013825231355856
1778013825263341368,1778013825262311389
1778013825290948470,1778013825289757832
1778013825322612298,1778013825321160406
1778013825354803888,1778013825353458755
1778013825387116552,1778013825385985427
1778013825416389844,1778013825415998037
1778013825444399942,1778013825446412989
1778013825474477984,1778013825474362253
1778013825499453585,1778013825505138136
1778013825528583780,1778013825531045039
1778013825560377421,1778013825562556529
1778013825592302322,1778013825593978417
1778013825619747689,1778013825621565765
1778013825652385345,1778013825654389185
1778013825682908154,1778013825684195833
1778013825711651848,1778013825712692555
1778013825754364686,1778013825753627410
1778013825780096400,1778013825779346393
1778013825811994197,1778013825811419922
1778013825842319493,1778013825843870434
1778013825873794752,1778013825874007201
1778013825909467288,1778013825908837192
1778013825942251970,1778013825942112417
1778013825973187973,1778013825974303801
1778013826000575565,1778013826000560592
1778013826032590252,1778013826031948909
1778013826065203708,1778013826064710399
1778013826093134471,1778013826097378876
1778013826124043176,1778013826123832342
1778013826155197296,1778013826154824303
1778013826187498226,1778013826186422127
1778013826217277856,1778013826216843725
1778013826249134925,1778013826250257565
1778013826280029944,1778013826280197719
1778013826311728927,1778013826311323544
1778013826340021419,1778013826339217438
1778013826373108775,1778013826372195407
1778013826404318905,1778013826403730146
1778013826436896658,1778013826436687402
1778013826465467051,1778013826464935634
1778013826496203992,1778013826495522552
1778013826527836161,1778013826526948338
1778013826555757939,1778013826558567047
1778013826587782212,1778013826586446103
1778013826617605605,1778013826617580879
1778013826643637273,1778013826647839421
1778013826684388967,1778013826684539317
1778013826710013540,1778013826709927748
1778013826742080939,1778013826742283217
1778013826774325741,1778013826774863494
1778013826802485195,1778013826803262264
1778013826834055866,1778013826834898203
1778013826866163542,1778013826866804728
1778013826897959288,1778013826898338790
1778013826926706535,1778013826927211011
1778013826958278752,1778013826958956272
1778013826989948979,1778013826990435887
1778013827017752018,1778013827021561541
1778013827049282382,1778013827049771623
1778013827080917767,1778013827081317642
1778013827112949881,1778013827113219647
1778013827140871136,1778013827141280456
1778013827173202480,1778013827173956560
1778013827205599611,1778013827206539192
1778013827237621603,1778013827238773892
1778013827265887491,1778013827267395051
1778013827297917252,1778013827299060380
1778013827330149054,1778013827330858296
1778013827361648076,1778013827362635162
1778013827391337144,1778013827390912815
1778013827426728838,1778013827423559727
1778013827458258730,1778013827455472924
1778013827485921214,1778013827486740111
1778013827517525891,1778013827514217914
1778013827549013252,1778013827545564564
1778013827583912916,1778013827577183328
1778013827612526795,1778013827612643216
1778013827638836382,1778013827639191302
1778013827670800152,1778013827670757251
1778013827701664887,1778013827701416347
1778013827729616025,1778013827729318437
1778013827762098363,1778013827762169343
1778013827793706438,1778013827794124574
1778013827824931003,1778013827825336613
1778013827852470758,1778013827852476380
1778013827884138730,1778013827884124833
1778013827915848407,1778013827915717389
1778013827944191000,1778013827947620200
1778013827976336677,1778013827976456168
1778013828008503327,1778013828008966801
1778013828040659086,1778013828041235518
1778013828068139039,1778013828068774361
1778013828100127929,1778013828100739008
1778013828132040093,1778013828132738570
1778013828163503645,1778013828164500572
1778013828191327633,1778013828192212508
