cam_left_stamp,cam_right_stamp
1.7780141540262182e+18,1.7780141540908326e+18
1.7780141540582623e+18,1.7780141541188055e+18
1.7780141540906232e+18,1.77801415415091e+18
1.7780141541186342e+18,1.7780141541828242e+18
1.7780141541507346e+18,1.7780141542150764e+18
1.7780141541826447e+18,1.7780141542426588e+18
1.7780141542107182e+18,1.778014154274679e+18
1.7780141542424742e+18,1.7780141543071311e+18
1.7780141542745219e+18,1.7780141543351058e+18
1.778014154306979e+18,1.7780141543712627e+18
1.7780141543349297e+18,1.7780141543733466e+18
1.7780141543674486e+18,1.7780141543751288e+18
1.7780141543697165e+18,1.778014154377105e+18
1.7780141543723791e+18,1.7780141543791135e+18
1.778014154374961e+18,1.7780141543811612e+18
1.778014154377625e+18,1.7780141543830252e+18
1.7780141543802808e+18,1.778014154385016e+18
1.7780141543829565e+18,1.778014154387044e+18
1.7780141543853755e+18,1.7780141543889434e+18
1.7780141543878973e+18,1.778014154392509e+18
1.7780141543905533e+18,1.7780141543944374e+18
1.778014154392888e+18,1.778014154396488e+18
1.7780141543954778e+18,1.7780141543982863e+18
1.7780141543981768e+18,1.7780141544003323e+18
1.7780141544006285e+18,1.7780141544036628e+18
1.7780141544032376e+18,1.7780141548943877e+18
1.7780141544059208e+18,1.7780141549222477e+18
1.7780141544099034e+18,1.7780141549543626e+18
1.7780141548942118e+18,1.7780141549863032e+18
1.778014154922083e+18,1.7780141550185103e+18
1.7780141549541903e+18,1.778014155046522e+18
1.7780141549861632e+18,1.7780141550784305e+18
1.7780141550187356e+18,1.7780141551100383e+18
1.7780141550464172e+18,1.778014155141097e+18
1.7780141550786893e+18,1.7780141551694694e+18
1.778014155110369e+18,1.7780141552012516e+18
1.7780141551379494e+18,1.7780141552331676e+18
1.7780141551697902e+18,1.7780141552608835e+18
1.778014155201529e+18,1.7780141552951063e+18
1.7780141552334628e+18,1.7780141552971768e+18
1.7780141552611384e+18,1.778014155299272e+18
1.7780141552954184e+18,1.7780141553013297e+18
1.778014155297637e+18,1.7780141553031895e+18
1.7780141553004073e+18,1.778014155305222e+18
1.7780141553030292e+18,1.778014155307287e+18
1.7780141553055555e+18,1.7780141553093775e+18
1.7780141553080356e+18,1.7780141553112865e+18
1.7780141553107116e+18,1.7780141553134574e+18
1.7780141553133064e+18,1.7780141553154516e+18
1.778014155315784e+18,1.7780141553193052e+18
1.7780141553181573e+18,1.7780141553211907e+18
1.7780141553206702e+18,1.7780141553231939e+18
1.778014155323522e+18,1.7780141553252861e+18
1.7780141553263532e+18,1.778014155328321e+18
1.7780141553289682e+18,1.7780141558228104e+18
1.7780141553317238e+18,1.7780141558497362e+18
1.7780141553345252e+18,1.7780141558819535e+18
1.7780141553381066e+18,1.778014155914956e+18
1.7780141558218179e+18,1.7780141559464773e+18
1.778014155849575e+18,1.7780141559739876e+18
1.7780141558817935e+18,1.7780141560057498e+18
1.7780141559138803e+18,1.7780141560377144e+18
1.7780141559454656e+18,1.7780141560698268e+18
1.778014155973852e+18,1.7780141560978972e+18
1.778014156006029e+18,1.7780141561300593e+18
1.7780141560376028e+18,1.7780141561619382e+18
1.7780141560696384e+18,1.7780141561892052e+18
1.778014156097763e+18,1.7780141562269612e+18
1.7780141561299036e+18,1.7780141562290988e+18
1.7780141561622523e+18,1.7780141562312074e+18
1.7780141561890243e+18,1.7780141562331123e+18
1.7780141562224783e+18,1.778014156235024e+18
1.7780141562247242e+18,1.7780141562370412e+18
1.7780141562274286e+18,1.778014156239077e+18
1.7780141562299866e+18,1.7780141562410573e+18
1.7780141562326264e+18,1.7780141562431767e+18
1.7780141562353754e+18,1.778014156245157e+18
1.7780141562379026e+18,1.7780141562471575e+18
1.778014156240532e+18,1.778014156249112e+18
1.778014156243074e+18,1.778014156250854e+18
1.7780141562454932e+18,1.7780141562528463e+18
1.778014156247988e+18,1.778014156254924e+18
1.778014156250654e+18,1.7780141562570317e+18
1.778014156253221e+18,1.7780141562601298e+18
1.778014156255939e+18,1.778014156749482e+18
1.7780141562586327e+18,1.7780141567767434e+18
1.778014156261372e+18,1.7780141568094643e+18
1.7780141562652024e+18,1.7780141568416046e+18
1.7780141567497393e+18,1.7780141568730993e+18
1.7780141567770514e+18,1.7780141569010353e+18
1.7780141568097267e+18,1.7780141569327235e+18
1.7780141568418775e+18,1.7780141569646106e+18
1.778014156873373e+18,1.7780141569966436e+18
1.7780141569008858e+18,1.778014157024246e+18
1.7780141569325274e+18,1.7780141570565166e+18
1.7780141569644314e+18,1.778014157088503e+18
1.778014156996471e+18,1.7780141571201334e+18
1.7780141570245522e+18,1.7780141571492147e+18
1.7780141570567363e+18,1.7780141571513894e+18
1.778014157088769e+18,1.7780141571534633e+18
1.778014157115764e+18,1.7780141571555464e+18
1.7780141571490386e+18,1.7780141571576387e+18
1.778014157151224e+18,1.7780141571595471e+18
1.7780141571537866e+18,1.7780141571615567e+18
1.778014157156694e+18,1.7780141571636012e+18
1.7780141571595254e+18,1.778014157165582e+18
1.7780141571619965e+18,1.7780141571674762e+18
1.7780141571647063e+18,1.778014157169553e+18
1.7780141571673093e+18,1.7780141571716378e+18
1.7780141571699054e+18,1.778014157173645e+18
1.778014157172415e+18,1.778014157175554e+18
1.7780141571750328e+18,1.778014157177555e+18
1.778014157177889e+18,1.7780141571796626e+18
1.7780141571807608e+18,1.778014157182643e+18
1.7780141571834048e+18,1.7780141576767985e+18
1.7780141571861624e+18,1.7780141577049085e+18
1.7780141571888164e+18,1.7780141577369395e+18
1.7780141571923174e+18,1.7780141577688778e+18
1.778014157677065e+18,1.7780141578006129e+18
1.778014157704753e+18,1.778014157828792e+18
1.7780141577372342e+18,1.7780141578617313e+18
1.778014157769223e+18,1.7780141578934587e+18
1.778014157800855e+18,1.7780141579251622e+18
1.7780141578290972e+18,1.7780141579529853e+18
1.778014157862011e+18,1.7780141579852595e+18
1.7780141578937457e+18,1.778014158017476e+18
1.7780141579249764e+18,1.778014158048931e+18
1.778014157952827e+18,1.7780141580773612e+18
1.7780141579850417e+18,1.7780141580796134e+18
1.778014158017742e+18,1.7780141580816538e+18
1.778014158049231e+18,1.7780141580836088e+18
1.7780141580771676e+18,1.7780141580855995e+18
1.7780141580795533e+18,1.7780141580875397e+18
1.7780141580820262e+18,1.7780141580895852e+18
1.7780141580847567e+18,1.7780141580915894e+18
1.7780141580875377e+18,1.7780141580935956e+18
1.7780141580900132e+18,1.7780141580955853e+18
1.7780141580927729e+18,1.7780141580976044e+18
1.7780141580954916e+18,1.7780141580996406e+18
1.7780141580980232e+18,1.7780141581016717e+18
1.7780141581006502e+18,1.778014158103503e+18
1.778014158103264e+18,1.7780141581055268e+18
1.7780141581058445e+18,1.778014158107647e+18
1.7780141581086758e+18,1.7780141581107948e+18
1.7780141581112584e+18,1.778014158603966e+18
1.7780141581139886e+18,1.7780141586356372e+18
1.7780141581167334e+18,1.7780141586646986e+18
1.7780141581205576e+18,1.7780141586968138e+18
1.7780141586037775e+18,1.7780141587288942e+18
1.778014158631579e+18,1.7780141587568028e+18
1.7780141586645071e+18,1.7780141587887685e+18
1.7780141586971151e+18,1.7780141588206548e+18
1.778014158729188e+18,1.7780141588525965e+18
1.7780141587570772e+18,1.778014158880738e+18
1.778014158789032e+18,1.7780141589125522e+18
1.7780141588205194e+18,1.7780141589446116e+18
1.7780141588528312e+18,1.7780141589766958e+18
1.778014158880579e+18,1.7780141590054075e+18
1.7780141589123308e+18,1.7780141590074588e+18
1.778014158944418e+18,1.7780141590094656e+18
1.7780141589765253e+18,1.778014159011396e+18
1.7780141590056768e+18,1.778014159013387e+18
1.7780141590078648e+18,1.7780141590154068e+18
1.778014159010608e+18,1.7780141590173814e+18
1.7780141590132977e+18,1.7780141590193654e+18
1.778014159015872e+18,1.778014159021224e+18
1.7780141590184952e+18,1.7780141590231657e+18
1.7780141590210888e+18,1.7780141590252096e+18
1.7780141590235302e+18,1.7780141590272817e+18
1.7780141590261064e+18,1.7780141590292319e+18
1.778014159028748e+18,1.778014159031249e+18
1.7780141590315814e+18,1.778014159035244e+18
1.7780141590364099e+18,1.7780141590384425e+18
1.778014159038916e+18,1.7780141595322742e+18
1.7780141590415805e+18,1.7780141595635704e+18
1.7780141590441618e+18,1.7780141595916823e+18
1.7780141590479895e+18,1.7780141596237988e+18
1.778014159532539e+18,1.7780141596556608e+18
1.7780141595599985e+18,1.778014159683845e+18
1.7780141595914714e+18,1.7780141597156073e+18
1.7780141596240264e+18,1.7780141597476708e+18
1.778014159655847e+18,1.7780141597793917e+18
1.778014159684061e+18,1.778014159807347e+18
1.7780141597157993e+18,1.7780141598392922e+18
1.7780141597478802e+18,1.7780141598710034e+18
1.778014159779573e+18,1.7780141599025539e+18
1.7780141598070006e+18,1.7780141599315246e+18
1.7780141598389233e+18,1.7780141599332897e+18
1.7780141598706243e+18,1.7780141599349473e+18
1.7780141599024507e+18,1.7780141599366433e+18
1.7780141599311964e+18,1.7780141599383962e+18
1.7780141599329705e+18,1.7780141599401065e+18
