timestamp_ms,thruster0,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,thruster7,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
17886727,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.03,-0.26,0.04,-0.00,0.00
17886737,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.01,-0.20,0.04,-0.00,0.00
17886747,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.00,-0.21,0.04,0.00,0.00
17886757,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,-0.04,-0.16,0.04,-0.00,0.00
17886767,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,-0.01,-0.13,0.04,0.00,0.00
17886777,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.02,0.00,-0.14,0.04,-0.00,0.00
17886787,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,-0.01,-0.14,0.04,0.00,0.00
17886797,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.02,-0.13,0.04,-0.00,0.00
17886807,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.01,-0.11,0.04,0.00,-0.00
17886817,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,-0.02,-0.06,0.04,-0.00,-0.00
17886827,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,-0.01,-0.06,0.04,-0.00,0.00
17886837,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.06,-0.05,-0.10,0.04,-0.00,0.00
17886847,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,0.02,-0.12,0.04,-0.00,0.00
17886857,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.05,-0.02,-0.11,0.04,0.00,0.00
17886867,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.03,-0.09,0.04,-0.00,0.00
17886877,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.04,-0.09,0.04,-0.00,0.00
17886887,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.06,-0.09,0.04,0.00,-0.00
17886897,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.01,-0.07,0.04,0.00,0.00
17886907,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.06,-0.11,0.04,-0.00,0.00
17886917,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.11,0.04,-0.04,0.04,0.00,0.00
17886927,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.05,0.01,-0.07,0.04,0.00,0.00
17886937,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.02,0.06,-0.06,0.04,0.00,0.00
17886947,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.00,0.02,-0.04,0.04,0.00,0.00
17886957,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.01,-0.00,0.04,-0.00,0.00
17886967,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.09,-0.05,0.04,-0.00,0.00
17886977,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.00,0.07,-0.03,0.04,-0.00,0.00
17886987,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.03,-0.04,0.04,0.00,-0.00
17886997,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,0.00,-0.01,0.04,0.00,0.00
17887007,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,-0.02,2.10,0.05,0.00,-0.00
17887017,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,-0.05,-0.16,0.05,-0.00,0.00
17887027,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.00,0.02,-0.15,0.05,-0.00,-0.00
17887037,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,0.05,-0.14,0.05,0.00,0.00
17887047,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.00,-0.03,-0.15,0.05,0.00,0.00
